SquareFeet,Bedrooms,Bathrooms,GarageSpaces,YearBuilt,LotSize,Neighborhood,IsRenovated,HasPool,HouseCondition,Price
2485,5,3,0,1990,8259.129021525325,North Megan,0,1,6,8897120.734715601
3690,4,3,1,1982,9667.197889552945,Emilyshire,1,0,2,10537119.170593858
4840,2,2,0,1999,3607.8310530621484,North Roy,0,0,6,4671900.300241025
2028,3,3,1,2012,5559.536123298475,Christophershire,1,0,4,6035142.6651356295
4289,4,3,1,1988,8408.687905060915,Margaretstad,0,1,5,9371879.166358313
1502,2,3,2,1977,3831.886054425726,Port Mark,1,0,5,4222598.50864712
3814,1,1,2,1967,2419.999240139323,Brianview,1,0,7,3378732.35177243
1397,3,2,1,2008,7651.562713316867,Erinhaven,0,1,5,8197687.365492292
1870,2,2,1,2015,7285.254590402089,Campbellfurt,1,1,10,7739204.645778017
3842,1,3,1,1992,6129.50914604954,West Danielborough,1,1,1,7087439.527282485
1392,3,3,0,1962,9499.93115890505,West Monicaport,1,0,6,9912229.776388496
1206,5,1,1,1950,9596.100731196715,Annshire,0,0,9,10029001.973072603
2038,3,3,2,1981,8753.944873429338,Lake Jacqueline,1,1,7,9360123.450825088
2881,5,1,0,1959,3637.1807687673418,New Johnburgh,1,1,5,4386634.10256122
4625,5,3,1,1964,3028.2933767709314,Cummingsmouth,0,1,7,4136380.273193156
3939,5,1,0,1966,8521.66624864441,South Andreafort,1,0,4,9440153.074147915
2484,4,2,0,2012,6862.248022137813,South Gregory,0,0,7,7510670.146402094
4762,4,3,0,2003,4565.134273489207,Calebfurt,0,1,7,5747402.742930586
4646,5,1,0,1972,4687.80828910527,Murphyshire,0,1,7,5857016.358726818
1863,1,1,1,2020,8679.989645996624,Acevedoshire,1,0,9,9183702.968409004
3790,5,3,2,1999,2469.225369015456,Aaronstad,0,0,1,3434134.6220432464
4312,2,1,0,2008,9495.7606881662,North Jeremy,0,1,4,10467484.588590205
1563,5,3,2,1985,6698.93764160473,North Reginaldhaven,0,1,1,7211686.198772542
2020,4,3,0,1955,8122.21960036982,Lake Stevenmouth,1,0,9,8698887.018917795
1095,4,1,2,2015,4337.798989792244,North Judy,1,0,7,4720695.420494899
2923,2,1,0,1981,6282.067242328513,Wendyhaven,0,1,6,7028410.3543240605
2757,2,1,0,2002,7749.914445652479,West Andrewborough,1,1,1,8483950.539622994
3532,3,2,1,2018,4916.169749870564,New Prestonside,1,1,1,5823302.204910793
4478,1,3,1,1951,5391.427074456169,Lake Michaelshire,1,0,6,6436557.536808829
3278,1,3,0,1992,6238.718459777175,Lake Jackiefurt,0,0,3,7038872.437008022
3796,1,2,2,1989,1570.6629183835364,Georgebury,1,0,1,2486574.620856751
2678,4,2,1,2017,8768.678692221863,North Meghan,1,0,3,9468069.255809976
4242,1,1,1,1953,8800.101421772855,East David,0,0,4,9771659.693582889
1540,3,3,1,1995,3532.7590552628585,East Kaitlynport,0,0,3,3975687.4654564685
2059,3,2,1,1969,8918.402830949799,Hollowayfort,0,1,6,9380727.333039204
3572,1,2,0,1963,7706.753268928756,Port Lauratown,0,1,6,8639696.969817653
2183,2,3,2,1963,5348.722670683621,South Jose,0,1,5,5947129.106711278
4910,3,3,1,1998,4129.876222552789,East Karen,0,1,5,5338279.484869852
2722,2,3,1,1952,4594.410282280822,Lake Jessicatown,1,1,5,5336055.6247391915
4314,4,1,2,1970,5809.770238881421,West Jennifer,0,1,1,6862395.035874688
4157,3,2,1,2010,4712.686317024321,Lake Annchester,0,1,5,5779909.562950301
2819,2,1,2,1951,4782.144916982369,Scottside,0,1,7,5580752.713125353
3625,1,3,0,1970,2828.1103626119207,Port Daniel,0,1,3,3610898.984156612
3729,4,3,1,1959,7370.308046405717,New Timothychester,1,0,3,8381591.1819314
3604,5,2,2,1968,6486.324156555137,Kaylaburgh,0,1,9,7333412.692375423
2597,5,1,1,2002,9927.113383194604,Port Amandaland,1,1,9,10638942.376709178
4060,1,1,0,1998,2271.197837822232,Westview,1,0,10,3265050.2495569275
3693,4,1,2,1957,2023.6451386151878,Martinezton,0,0,10,2938981.239319313
1795,4,3,2,2006,5643.390692222204,Jaredborough,0,1,9,6115292.767355711
2051,4,2,2,1973,2367.916871590667,South Sean,0,0,7,2978885.879517681
2643,4,1,1,1996,6495.590359600137,Smithton,1,0,3,7183679.264870154
4627,5,3,2,1970,2765.0359780210724,South Georgechester,1,0,6,3961313.356739806
2363,2,3,2,1957,5346.9864808393495,New Richardside,1,1,7,6047217.390384429
4869,4,1,2,1968,6501.803048581784,East Elizabeth,1,0,7,7686731.562569854
2981,2,2,0,1979,5122.367101314311,West Annaview,1,0,1,5905020.779365508
2354,4,2,2,1975,3879.867741374665,Rebeccafort,1,1,7,4595391.89372692
2663,3,1,2,1969,8040.844743515141,Amandamouth,0,1,9,8740724.968725108
2529,3,3,2,1994,8691.92221893257,Brandonhaven,0,1,9,9411759.795340214
3038,3,3,0,2013,3502.448508219157,New Daltonport,1,1,1,4389736.552716814
4419,4,1,2,1979,8320.543612034297,Bonnieborough,1,1,3,9474299.002590802
2496,2,3,1,2002,4524.706178544844,Ramirezside,0,0,6,5184566.02692745
4302,5,3,2,1999,5388.612746432722,North Mariamouth,0,1,1,6430512.973714256
3237,1,1,1,2011,3085.7471905089897,Porterland,0,0,5,3840012.8103316757
4296,5,3,0,1991,6631.513981854605,Timothyfurt,0,0,7,7615019.409060315
2408,4,1,0,1977,1908.340450992585,Davisburgh,0,0,7,2577429.9420366143
2400,3,1,2,2007,6324.737733736656,New Garyberg,1,1,3,6970386.485677869
2306,3,1,2,1980,9907.462736503787,Emilyville,1,0,5,10533259.30102716
3680,2,3,0,2008,7781.1967650035995,East Jonathan,1,1,5,8579553.098499568
3675,4,1,0,1961,9055.353777709826,West Catherine,0,0,8,9987038.640138594
1972,5,3,0,1994,5177.7598617513895,East David,1,0,1,5773103.311050833
2768,4,1,1,2015,2278.9480627209823,Woodborough,1,1,4,3027132.8120294083
2282,4,2,1,2017,3596.1570444222225,South Carolyn,0,1,9,4219842.946365801
4430,3,3,2,1981,1441.2670679631701,Wesleyview,1,1,7,2578375.887763627
1709,5,3,1,1990,5516.298751842538,West Robin,0,0,4,5956477.54724352
2479,1,3,0,2004,6847.001847040184,Cherrymouth,1,0,3,7420453.1478662845
2434,3,2,2,2018,4820.349753810029,Jefferychester,1,0,8,5457717.075945014
1648,5,1,1,1954,6068.844090852386,Cherryfurt,1,0,2,6589001.379025059
1317,2,2,2,2012,3886.3202348992663,Kelseyville,0,1,2,4338846.809780206
4748,3,1,1,1953,1772.7228456896255,South Sue,1,0,4,2885996.292517614
4296,2,1,2,1990,4887.990931979695,Briannashire,1,0,8,5859130.434915907
4890,3,1,0,1961,5930.180158249387,Hannahberg,0,0,8,7070091.766697475
2257,4,1,0,1986,9843.713137797606,Jennifertown,1,0,10,10472322.678601308
1683,5,1,0,2004,4125.460641331567,Lake Nancyberg,0,0,3,4634213.605611398
1663,2,2,1,1994,7099.926917292972,Sandrastad,0,0,7,7551107.940707145
2998,3,3,2,1977,8403.619970460222,North Mckenzieton,0,0,2,9180744.394980052
4898,2,2,2,2008,4018.516549381449,Orrberg,0,1,10,5053236.350817216
4445,3,3,2,1956,9369.381152234417,Kyletown,0,1,3,10451501.21145268
4743,3,3,1,2009,4049.4815845295475,South David,0,1,3,5240767.520917064
2631,1,3,0,2002,9728.238787730377,New Lawrence,1,1,6,10437329.382301642
2495,1,2,0,1989,1019.4122608538285,North Josephborough,1,1,8,1629837.2616864222
4304,1,1,2,2001,6707.559910498108,New Cindyside,1,0,6,7672596.866993159
4763,2,1,2,1960,8109.336229751375,Port Heathermouth,1,0,6,9275593.674477102
2136,4,3,1,1999,3520.5437706248113,Lake Joshuachester,0,1,10,4160023.7396621574
2853,3,1,2,1999,2053.452463332356,Jeffreyton,0,0,4,2705178.523431828
2520,5,1,2,1997,1219.3159679580117,Jeremytown,1,1,4,1842253.6645294062
3489,1,2,1,2003,1669.662427261968,Kerrtown,0,0,4,2451564.9934946024
1563,2,1,2,1955,5887.30638486731,Lake Frankview,0,1,9,6435843.749790887
2291,2,1,0,1999,8552.506631910535,Lake Isaiah,0,0,5,9182911.023568166
4581,2,2,1,1952,1568.1777873893975,Smithfurt,0,1,9,2613596.8722448777
4878,5,1,0,1990,2018.6234013859184,Susanmouth,1,0,8,3218327.0250982684
4457,5,3,2,1977,1045.9270190268378,Danielhaven,0,0,5,2089434.7648729575
4458,1,2,2,1981,3540.496588872205,South Yolanda,0,1,6,4662151.561719554
4184,5,1,1,1988,9291.217474999463,Richardmouth,1,0,10,10339767.438695272
2636,1,1,1,2020,3486.5919807696864,Reedborough,1,1,4,4260216.870045781
4696,5,2,1,2012,4967.330023091393,South Sarah,0,0,2,5987112.053815877
3999,5,3,1,1968,2610.6165617648658,East Abigailstad,0,0,6,3605566.5563055724
4152,5,2,2,1950,2046.5608278409197,South Teresaburgh,0,0,10,2997712.863140334
1698,1,3,2,1982,2641.5500194718966,East Melissa,0,0,1,3056472.812621361
3160,3,2,0,1982,2893.8955067296797,East Edward,1,1,1,3709326.2756603886
1001,1,1,0,1960,2172.599432022392,Biancashire,1,0,5,2494111.561082668
1641,3,2,1,2009,8123.977103529455,South Monicaside,0,1,2,8544761.183321869
3267,2,2,2,1977,5295.210745513565,Jordanton,0,0,2,6138585.517235357
2589,2,3,1,2011,5857.924848053404,West Jessicamouth,0,0,6,6471840.370981667
1854,1,2,1,1996,4371.855177633017,Samanthaburgh,1,1,9,4875063.256105854
2759,3,3,1,1966,2896.6855676774467,Simonfurt,1,1,4,3608868.2694866504
4296,3,2,1,2021,1845.1149808808736,New Alexchester,0,0,6,2817737.705271989
3432,3,1,1,1958,1683.3313275812984,West Glenn,0,1,1,2566833.3169840444
4474,2,2,2,1957,2666.278231711218,Port Willie,1,0,6,3846336.1437711455
2661,1,1,0,2008,8651.585739687363,New Michelleview,1,0,10,9264343.88293734
2153,4,3,1,2018,2948.9067062057566,Timothyberg,0,0,1,3532772.775915358
2076,3,3,2,1994,4193.376325309378,South Matthew,1,0,2,4863809.998673129
2707,3,3,1,1982,6154.764793751478,New Travisport,1,0,9,6846961.844484098
3777,4,3,2,1987,5602.71794507841,East Dwayne,1,0,4,6590105.912770097
2695,1,2,0,2012,6992.385667583661,South Kevin,1,1,8,7679678.73437665
2733,3,2,0,1961,2748.8334659594916,Jacobberg,1,0,4,3455824.8905490153
2439,1,2,2,2016,5716.440358352698,Lake Kelly,0,1,1,6333868.108603391
3294,3,1,1,1978,7909.742434962557,Jenniferhaven,1,0,4,8702403.838599078
1835,5,2,0,1971,4487.562592789275,West Dannytown,1,0,8,5011543.942807487
4510,3,1,1,1983,9747.049585492556,East Nicoleland,0,0,4,10857703.315023055
1202,5,1,1,2019,6201.544896034609,Darrellside,1,0,4,6592335.948555214
4255,1,2,2,1988,7073.439020367842,Jenniferton,1,1,5,8029294.004090134
1122,3,1,1,1965,5131.789656894589,Port James,0,1,4,5537786.55465035
1400,2,3,2,1980,8720.657595574612,Joshuahaven,1,0,6,9127302.700287234
1766,2,2,2,1998,5063.38231597019,Mathewton,0,0,9,5626678.311649702
1293,4,2,2,1993,9480.52282226158,New Darrell,1,0,3,9875823.624993348
3327,2,1,0,1995,3767.414886896764,Taylorfort,0,0,1,4521768.613235006
4908,5,2,1,1950,8792.374651768796,New Jennifer,0,1,8,9942780.505106227
3931,2,2,2,1993,6754.178563087401,Port Robert,0,0,4,7697053.250500387
4681,2,1,2,1995,8191.492024650861,Port Alexis,1,0,9,9246321.653157169
1197,2,2,1,2021,1339.311561336294,North Matthew,0,1,5,1770268.536912606
4029,3,2,0,2002,3495.516865779272,Lisachester,1,0,1,4496095.756760734
2930,4,2,2,1982,8623.709684274367,Lake Meganville,1,1,6,9394520.667483743
4582,1,1,2,1994,3865.0032408020384,New Emilyborough,0,1,8,4947493.571735883
3799,4,2,2,2013,7413.8981802424505,Vaughanville,1,1,8,8371730.13914779
3191,5,2,2,1952,9929.699331232807,Tammyton,1,1,10,10730835.817458691
1608,3,2,1,1973,2594.5187470183264,Adamland,0,0,9,3153631.3066499955
4272,3,3,2,1980,4757.913464533674,East Chelseaborough,0,1,8,5778551.50330632
2147,2,2,0,2020,2486.1403968953346,Lake Jonathanside,0,0,8,3098279.7566262553
1186,2,1,1,1989,2388.5780905981896,South Oliviaborough,1,0,1,2827916.9125611857
4397,5,3,0,1999,6697.385438532324,New Brandyview,1,1,2,7787897.074172992
3511,3,1,1,1964,2722.384330907309,Kevinfurt,1,1,5,3613823.1133160554
4420,1,2,1,1970,5343.885540434384,Jaymouth,1,0,8,6446790.328538077
2794,4,2,1,1970,9801.473262597721,Lake Rhonda,0,0,1,10572036.822817553
1659,3,2,0,2009,3998.165338348829,North Jason,0,1,10,4475545.883068769
3811,1,3,0,2014,8862.668620169165,New Rebeccafurt,0,1,7,9796674.637388939
